code,category,value,areaName
E12000003,Bengali,8316,Yorkshire and The Humber
E12000003,Gujarati,6270,Yorkshire and The Humber
E12000003,Marathi,580,Yorkshire and The Humber
E12000003,Telugu,1433,Yorkshire and The Humber
E12000003,Tamil,2779,Yorkshire and The Humber
E12000003,Malayalam,2650,Yorkshire and The Humber
E12000003,Sinhala,508,Yorkshire and The Humber
E12000003,Nepalese,2679,Yorkshire and The Humber
E12000003,otherSAsian,2683,Yorkshire and The Humber
E12000003,Mandarin,2450,Yorkshire and The Humber
E12000003,Cantonese,3495,Yorkshire and The Humber
E12000003,otherChinese,11087,Yorkshire and The Humber
E12000003,Japanese,495,Yorkshire and The Humber
E12000003,Korean,484,Yorkshire and The Humber
E12000003,Vietnamese,1210,Yorkshire and The Humber
E12000003,Thai,1828,Yorkshire and The Humber
E12000003,Malay,830,Yorkshire and The Humber
E12000003,Tagalog,2455,Yorkshire and The Humber
E12000003,otherEAsian,868,Yorkshire and The Humber
E12000003,Oceanic,173,Yorkshire and The Humber
E12000003,NSAmerican,3,Yorkshire and The Humber
E12000003,EnglishCreole,2,Yorkshire and The Humber
E12000003,otherCreole,46,Yorkshire and The Humber
E12000003,Amharic,993,Yorkshire and The Humber
E12000003,Tigrinya,3411,Yorkshire and The Humber
E12000003,Somali,2257,Yorkshire and The Humber
E12000003,Krio,38,Yorkshire and The Humber
E12000003,Akan,1079,Yorkshire and The Humber
E12000003,Yoruba,332,Yorkshire and The Humber
E12000003,Igbo,621,Yorkshire and The Humber
E12000003,Swahili,1001,Yorkshire and The Humber
E12000003,Luganda,65,Yorkshire and The Humber
E12000003,Lingala,312,Yorkshire and The Humber
E12000003,Shona,1076,Yorkshire and The Humber
E12000003,Afrikaans,261,Yorkshire and The Humber
E12000003,otherNigerian,273,Yorkshire and The Humber
E12000003,otherWAfrican,1625,Yorkshire and The Humber
E12000003,otherAfrican,1856,Yorkshire and The Humber
E12000003,BSL,2120,Yorkshire and The Humber
E12000003,otherSignLang,139,Yorkshire and The Humber
E12000003,otherSignComm,354,Yorkshire and The Humber
E12000003,other,644,Yorkshire and The Humber
E12000004,N/A,147123,East Midlands
E12000004,English,4340514,East Midlands
E12000004,Welsh,378,East Midlands
E12000004,IrishGaelic,50,East Midlands
E12000004,ScottishGaelic,8,East Midlands
E12000004,ManxGaelic,0,East Midlands
E12000004,Gaelic,15,East Midlands
E12000004,Cornish,4,East Midlands
E12000004,Scots,66,East Midlands
E12000004,UlsterScots,5,East Midlands
E12000004,RomanyEnghlish,164,East Midlands
E12000004,IrishTraveller,4,East Midlands
E12000004,French,4024,East Midlands
E12000004,Portuguese,10502,East Midlands
E12000004,Spanish,5898,East Midlands
E12000004,Italian,6439,East Midlands
E12000004,German,1963,East Midlands
E12000004,Polish,70969,East Midlands
E12000004,Slovak,6068,East Midlands
E12000004,Czech,2067,East Midlands
E12000004,Romanian,45382,East Midlands
E12000004,Lithuanian,15320,East Midlands
E12000004,Latvian,8107,East Midlands
E12000004,Hungarian,6070,East Midlands
E12000004,Bulgarian,6571,East Midlands
E12000004,Greek,3723,East Midlands
E12000004,Dutch,953,East Midlands
E12000004,Swedish,391,East Midlands
E12000004,Danish,231,East Midlands
E12000004,Finnish,162,East Midlands
E12000004,Estonian,165,East Midlands
E12000004,3Slovenian1,139,East Midlands
E12000004,3Maltese2,83,East Midlands
E12000004,otherEU,224,East Midlands
E12000004,Albanian,2382,East Midlands
E12000004,Ukrainian,458,East Midlands
E12000004,otherEEuropean,15,East Midlands
E12000004,otherNEuropean,241,East Midlands
E12000004,BosCroatSerbMont,1426,East Midlands
E12000004,Romani,21,East Midlands
E12000004,Yiddish,1,East Midlands
